trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
665,False,"{'a': 0.5, 'e': 0.03615283175404641}",25,11,25.8394455249722,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
666,False,"{'a': 0.5, 'e': 0.035972518753429654}",25,20,9.341674251684124,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
667,False,"{'a': 0.5, 'e': 0.0357931050676553}",25,15,16.758667149495743,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
668,False,"{'a': 0.5, 'e': 0.03561458621137186}",30,19,6.267587525522301,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
669,False,"{'a': 0.5, 'e': 0.03543695772159864}",20,12,16.091078930868576,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.5, 'e': 0.03526021515761412}",20,13,13.333954100392216,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.5, 'e': 0.035084354100845025}",25,11,12.212108382089749,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
672,False,"{'a': 0.5, 'e': 0.03490937015475576}",20,10,-5.013150690011546,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
673,False,"{'a': 0.5, 'e': 0.03473525894473856}",20,16,5.361199605691788,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
674,False,"{'a': 0.5, 'e': 0.0345620161180041}",20,9,16.5358693825696,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
675,False,"{'a': 0.5, 'e': 0.03438963734347271}",20,13,10.927649675128455,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
676,False,"{'a': 0.5, 'e': 0.03421811831166603}",30,12,-14.505367340886519,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
677,False,"{'a': 0.5, 'e': 0.034047454734599344}",30,0,47.423267156239795,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
678,False,"{'a': 0.5, 'e': 0.033877642345674315}",20,8,19.255992257085435,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.5, 'e': 0.033708676899572396}",25,0,39.30496077070051,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
680,False,"{'a': 0.5, 'e': 0.033540554172148636}",35,16,32.77331728598283,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.5, 'e': 0.03337326996032608}",20,15,9.312940417350722,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.5, 'e': 0.03320682008199072}",20,15,12.075597147745242,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.5, 'e': 0.03304120037588693}",25,15,9.626630898780274,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.5, 'e': 0.03287640670151345}",20,8,21.055703521711912,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.5, 'e': 0.03271243493901982}",20,12,17.985941172030515,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.5, 'e': 0.03254928098910342}",20,13,10.502924091837087,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.5, 'e': 0.03238694077290704}",20,14,10.763915437579094,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
688,False,"{'a': 0.5, 'e': 0.0322254102319168}",30,4,38.81474705746822,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.5, 'e': 0.03206468532786077}",25,15,20.80006721838328,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.5, 'e': 0.03190476204260796}",25,11,23.919953757653673,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
